Pos(位置),2P%（2分命中率）,FT%（罚球命中率）,TRB(总篮板数),AST（场均助攻）,STL（场均抢断）,PTS（场均得分）
PF,0.5,0.8,9.0,3.0,1.0,16.0
SF,0.4,0.8,0.0,0.0,0.0,4.0
PG,0.52,0.8,2.0,4.0,2.0,10.0
PF,0.51,0.7,9.0,2.0,1.0,9.0
SG,0.46,0.8,2.0,2.0,0.0,12.0
C,0.49,0.8,12.0,1.0,1.0,23.0
SF,0.42,0.8,1.0,1.0,0.0,2.0
PG,0.49,0.8,0.0,1.0,0.0,8.0
PG,0.55,0.8,0.0,0.0,0.0,8.0
PG,0.47,0.6,0.0,1.0,0.0,7.0
SF,0.54,0.8,6.0,3.0,1.0,12.0
C,0.47,0.8,4.0,1.0,1.0,13.0
SF,0.5,0.7,6.0,2.0,1.0,11.0
PF,0.39,0.7,1.0,1.0,0.0,3.0
PF,0.44,0.7,2.0,0.0,0.0,4.0
SF,0.6,0.5,2.0,1.0,1.0,10.0
PF,0.56,0.8,8.0,1.0,0.0,18.0
SG,0.42,0.8,1.0,1.0,1.0,6.0
PG,0.45,0.8,1.0,2.0,0.0,4.0
C,0.5,0.8,2.0,1.0,0.0,9.0
C,0.62,0.5,4.0,0.0,0.0,6.0
C,0.53,0.8,4.0,1.0,0.0,7.0
PF,0.54,0.5,1.0,0.0,0.0,3.0
SF,0.49,0.8,7.0,1.0,1.0,23.0
C,0.48,0.7,2.0,1.0,0.0,4.0
SG,0.5,0.8,7.0,4.0,1.0,21.0
PG,0.47,0.8,2.0,7.0,2.0,10.0
PF,0.58,0.7,8.0,3.0,1.0,18.0
C,0.49,0.7,3.0,0.0,0.0,5.0
SF,0.59,0.8,6.0,2.0,1.0,16.0
PF,0.5,0.8,3.0,1.0,1.0,3.0
C,0.52,0.6,6.0,2.0,1.0,8.0
PG,0.47,0.8,3.0,11.0,1.0,17.0
C,0.5,0.7,3.0,1.0,0.0,5.0
SF,0.51,0.6,2.0,1.0,0.0,6.0
